Time,Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z
0,0,0,0,0,0,0
0.1,0,0.0001,0.0005,0,0.002,0.01
0.2,0,0.0004,0.002,0,0.004,0.02
0.3,0,0.0009,0.0045,0,0.006,0.03
0.4,0,0.0016,0.008,0,0.008,0.04
0.5,0,0.0025,0.0125,0,0.01,0.05
0.6,0,0.0036,0.018,0,0.012,0.06
0.7,0,0.0049,0.0245,0,0.014,0.07
0.8,0,0.0064,0.032,0,0.016,0.08
0.9,0,0.0081,0.0405,0,0.018,0.09
1,0,0.01,0.05,0,0.02,0.1
1.1,0,0.0121,0.0605,0,0.022,0.11
1.2,0,0.0144,0.072,0,0.024,0.12
1.3,0,0.0169,0.0845,0,0.026,0.13
1.4,0,0.0196,0.098,0,0.028,0.14
1.5,0,0.0225,0.1125,0,0.03,0.15
1.6,0,0.0256,0.128,0,0.032,0.16
1.7,0,0.0289,0.1445,0,0.034,0.17
1.8,0,0.0324,0.162,0,0.036,0.18
1.9,0,0.0361,0.1805,0,0.038,0.19
2,0,0.04,0.2,0,0.04,0.2
2.1,0,0.0441,0.2205,0,0.042,0.21
2.2,0,0.0484,0.242,0,0.044,0.22
2.3,0,0.0529,0.2645,0,0.046,0.23
2.4,0,0.0576,0.288,0,0.048,0.24
2.5,0,0.0625,0.3125,0,0.05,0.25
2.6,0,0.0676,0.338,0,0.052,0.26
2.7,0,0.0729,0.3645,0,0.054,0.27
2.8,0,0.0784,0.392,0,0.056,0.28
2.9,0,0.0841,0.4205,0,0.058,0.29
3,0,0.09,0.45,0,0.06,0.3
3.1,0,0.0959083,0.479541,0,0.0580838,0.290419
3.2,0,0.101617,0.508083,0,0.0560838,0.280419
3.3,0,0.107125,0.535625,0,0.0540838,0.270419
3.4,0,0.112433,0.562167,0,0.0520838,0.260419
3.5,0,0.117542,0.587709,0,0.0500838,0.250419
3.6,0,0.12245,0.612251,0,0.0480838,0.240419
3.7,0,0.127159,0.635793,0,0.0460838,0.230419
3.8,0,0.131667,0.658335,0,0.0440838,0.220419
3.9,0,0.135975,0.679877,0,0.0420838,0.210419
4,0,0.140084,0.700419,0,0.0400838,0.200419
4.1,0,0.143992,0.719961,0,0.0380838,0.190419
4.2,0,0.1477,0.738502,0,0.0360838,0.180419
4.3,0,0.151209,0.756044,0,0.0340838,0.170419
4.4,0,0.154883,0.772636,0,0.0414456,0.162182
4.5,0,0.159527,0.788582,0,0.0514425,0.157011
4.6,0,0.165171,0.804066,0,0.0614407,0.152712
4.7,0,0.171815,0.819128,0,0.0714394,0.148518
4.8,0,0.179459,0.833762,0,0.0814384,0.144112
4.9,0,0.188103,0.847938,0,0.0914374,0.139332
5,0,0.197747,0.861613,0,0.101436,0.13408
5.1,0,0.20839,0.874736,0,0.111435,0.128281
